Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T19:23:00-03:00,25,12,2,4,44
2020-11-14T19:24:00-03:00,13,13,4,2,34
2020-11-14T19:25:00-03:00,22,12,2,6,41
2020-11-14T19:26:00-03:00,16,13,4,2,41
2020-11-14T19:27:00-03:00,18,26,1,2,52
2020-11-14T19:28:00-03:00,20,16,2,8,42
2020-11-14T19:29:00-03:00,40,8,4,5,44
2020-11-14T19:30:00-03:00,25,14,7,8,65
2020-11-14T19:31:00-03:00,31,14,5,9,76
2020-11-14T19:32:00-03:00,23,28,4,6,100
2020-11-14T19:33:00-03:00,17,17,5,7,68
2020-11-14T19:34:00-03:00,11,18,7,7,64
2020-11-14T19:35:00-03:00,23,17,2,4,50
2020-11-14T19:36:00-03:00,13,12,2,4,44
2020-11-14T19:37:00-03:00,20,16,5,7,55
2020-11-14T19:38:00-03:00,18,14,6,8,48
2020-11-14T19:39:00-03:00,20,8,4,5,45
2020-11-14T19:40:00-03:00,13,5,6,4,30
2020-11-14T19:41:00-03:00,16,18,2,12,41
2020-11-14T19:42:00-03:00,17,12,5,5,41
2020-11-14T19:43:00-03:00,15,15,2,2,41
2020-11-14T19:44:00-03:00,19,11,2,1,26
2020-11-14T19:45:00-03:00,15,13,2,4,35
2020-11-14T19:46:00-03:00,11,10,5,6,40
2020-11-14T19:47:00-03:00,11,12,4,2,27
2020-11-14T19:48:00-03:00,17,11,4,6,33
2020-11-14T19:49:00-03:00,10,11,8,1,22
2020-11-14T19:50:00-03:00,19,8,5,1,38
2020-11-14T19:51:00-03:00,19,6,1,5,28
2020-11-14T19:52:00-03:00,20,5,5,2,52
2020-11-14T19:53:00-03:00,23,10,7,7,36
2020-11-14T19:54:00-03:00,12,8,2,2,32
2020-11-14T19:55:00-03:00,21,15,5,5,39
2020-11-14T19:56:00-03:00,13,12,9,3,48
2020-11-14T19:57:00-03:00,27,17,4,7,42
2020-11-14T19:58:00-03:00,22,9,1,6,16
2020-11-14T19:59:00-03:00,16,7,0,9,31
2020-11-14T20:00:00-03:00,27,11,9,6,46
2020-11-14T20:01:00-03:00,22,10,2,5,42
2020-11-14T20:02:00-03:00,21,9,4,4,35
2020-11-14T20:03:00-03:00,12,20,5,4,34
2020-11-14T20:04:00-03:00,24,10,6,6,28
2020-11-14T20:05:00-03:00,16,12,10,4,34
2020-11-14T20:06:00-03:00,21,8,8,8,42
2020-11-14T20:07:00-03:00,27,6,8,4,41
2020-11-14T20:08:00-03:00,17,8,3,3,30
2020-11-14T20:09:00-03:00,18,10,2,6,36
2020-11-14T20:10:00-03:00,19,6,6,4,37
2020-11-14T20:11:00-03:00,22,11,3,1,31
2020-11-14T20:12:00-03:00,16,9,2,2,39
2020-11-14T20:13:00-03:00,14,9,4,3,38
2020-11-14T20:14:00-03:00,25,6,7,3,39
2020-11-14T20:15:00-03:00,20,11,5,2,39
2020-11-14T20:16:00-03:00,17,12,7,0,45
2020-11-14T20:17:00-03:00,12,18,2,3,39
2020-11-14T20:18:00-03:00,17,12,4,5,28
2020-11-14T20:19:00-03:00,16,12,3,7,35
2020-11-14T20:20:00-03:00,22,10,4,3,48
2020-11-14T20:21:00-03:00,16,9,4,7,50
