Day,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-10-14,14,13,6,8,37
2020-10-15,24,17,4,35,38
2020-10-16,17,11,8,39,39
2020-10-17,24,18,5,17,49
2020-10-18,28,11,13,22,35
2020-10-19,23,6,8,25,44
2020-10-20,15,8,8,15,40
2020-10-21,26,10,8,16,42
2020-10-22,24,14,7,20,62
2020-10-23,26,19,7,18,57
2020-10-24,19,19,8,17,55
2020-10-25,13,7,8,9,43
2020-10-26,24,16,8,22,63
2020-10-27,34,11,3,17,62
2020-10-28,37,15,8,19,36
2020-10-29,27,13,5,19,36
2020-10-30,23,17,5,13,38
2020-10-31,29,9,9,24,55
2020-11-01,13,12,6,11,48
2020-11-02,40,17,4,19,61
2020-11-03,17,14,6,10,23
2020-11-04,16,4,4,7,26
2020-11-05,20,11,4,11,38
2020-11-06,27,15,6,11,52
2020-11-07,25,14,10,6,65
2020-11-08,24,13,7,14,70
2020-11-09,35,8,6,14,87
2020-11-10,49,29,13,18,100
2020-11-11,47,18,8,19,80
2020-11-12,71,16,5,41,69
